map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
caen,B-open,6e1c32fe9b,5,127.9,49.204825,-0.386361,49.204932,-0.384605,11.0753,0.1254,0.9815,0.0,0.0,0.0,0.037,0.0,0.0,0.5,0.0,0.0,0.4815,76.4025
caen,B-open,6e1c32fe9b,6,78.9,49.204932,-0.384605,49.205063,-0.385674,10.7656,-0.2507,0.9419,0.0,0.0,0.0548,0.0068,0.0,0.0,0.4726,0.0,0.0016,0.4693,76.4025
caen,B-open,6e1c32fe9b,7,73.1,49.205063,-0.385674,49.204581,-0.386361,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,76.4025
caen,B-open,6e1c32fe9b,8,53.3,49.204581,-0.386361,49.205061,-0.386361,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,76.4025
caen,B-open,6e1c32fe9b,9,132.4,49.205061,-0.386361,49.205562,-0.384703,10.8737,0.1135,0.9598,0.0,0.0,0.0,0.0804,0.0,0.0,0.5,0.0,0.0,0.4598,76.4025
caen,B-open,6e1c32fe9b,10,132.8,49.205562,-0.384703,49.204414,-0.384187,6.3819,4.8875,0.8694,0.0,0.153,0.0,0.4589,0.0,0.153,0.5765,0.0,0.0,0.2929,76.4025
caen,B-open,6e1c32fe9b,11,221.2,49.204414,-0.384187,49.20432,-0.38114,-3.9378,-2.9305,0.119,1.0,0.0754,0.7786,0.4472,0.8824,0.0402,0.119,0.0,0.3946,0.0,76.4025
caen,B-open,6e1c32fe9b,12,156.2,49.20432,-0.38114,49.205712,-0.381451,-0.9458,6.6986,0.5422,0.1652,0.2818,0.154,1.0,0.0648,0.2558,0.5422,0.0,0.3925,0.0,76.4025
caen,B-open,6e1c32fe9b,13,136.8,49.205712,-0.381451,49.204488,-0.38167,-1.8155,-3.4995,0.1892,0.174,0.1052,0.6576,1.0,0.1411,0.0637,0.1892,0.0,0.8109,0.0,76.4025
caen,B-open,6e1c32fe9b,14,139.4,49.204488,-0.38167,49.205359,-0.380284,-6.2057,4.8069,0.3811,0.9034,0.2887,0.4085,1.0,0.5774,0.2179,0.3811,0.0,0.6392,0.0,76.4025
caen,B-open,6e1c32fe9b,15,110.9,49.205359,-0.380284,49.204363,-0.380406,2.355,-2.1666,0.3733,0.3792,0.0,0.2535,1.0,0.1909,0.0,0.3733,0.0,0.5034,0.0,76.4025
caen,B-open,6e1c32fe9b,16,129.3,49.204363,-0.380406,49.203684,-0.378958,0.76,-3.6856,0.2505,0.6762,0.0,0.6215,0.3618,0.5331,0.0,0.1893,0.0,0.2852,0.0613,76.4025
caen,B-open,6e1c32fe9b,17,159.6,49.203684,-0.378958,49.204863,-0.3777,-2.4292,1.9115,0.3882,0.7352,0.153,0.3267,1.0,0.4202,0.1231,0.3882,0.0,0.5716,0.0,76.4025
caen,B-open,6e1c32fe9b,18,335.8,49.204863,-0.3777,49.202594,-0.380761,-6.3075,4.4891,0.3758,1.0,0.2701,0.4082,1.0,0.6389,0.2039,0.3758,0.0,0.6389,0.0,76.4025
caen,B-handrail,e7cbdb18ab,0,99.4,49.202594,-0.380761,49.201729,-0.380405,-5.109,2.6457,0.2575,0.0,0.378,0.6262,1.0,0.0,0.236,0.2575,0.0,0.7913,0.0,81.8118
caen,B-handrail,e7cbdb18ab,1,88.9,49.201729,-0.380405,49.202525,-0.380275,2.2897,-4.3965,0.2766,0.0,0.0,0.4468,1.0,0.0,0.0,0.2766,0.0,0.6684,0.0,81.8118
caen,B-handrail,e7cbdb18ab,2,72.2,49.202525,-0.380275,49.20245,-0.381264,2.4472,1.8853,0.5485,0.0,0.1851,0.3563,0.5231,0.0,0.1455,0.3814,0.0,0.3123,0.167,81.8118
caen,B-handrail,e7cbdb18ab,3,135.1,49.20245,-0.381264,49.201259,-0.380884,-2.2608,-2.2657,0.2467,0.4932,0.091,0.5477,1.0,0.365,0.0611,0.2467,0.0,0.74,0.0,81.8118
caen,B-handrail,e7cbdb18ab,4,89.0,49.201259,-0.380884,49.201264,-0.379657,-1.0707,4.3595,0.482,0.0,0.3073,0.3952,0.735,0.0,0.2344,0.3953,0.0,0.4621,0.0867,81.8118
caen,B-handrail,e7cbdb18ab,5,167.9,49.201264,-0.379657,49.202339,-0.37803,-2.2408,-0.5462,0.2598,1.0,0.0875,0.5222,0.4965,0.7226,0.0601,0.2598,0.0,0.3588,0.0,81.8118
