map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
llose,B-open,3f388e1f75,10,972.4,42.557611,2.130012,42.55176,2.138863,2.4281,5.6163,0.5754,0.6061,0.1508,0.0,1.0,0.0,0.1508,0.5754,0.0,0.0,0.0,89.8919
llose,B-open,3f388e1f75,11,545.2,42.55176,2.138863,42.552043,2.145519,2.6535,5.5669,0.5857,0.0878,0.1834,0.0102,1.0,0.0089,0.1823,0.5857,0.0,0.1011,0.0,89.8919
llose,B-open,3f388e1f75,12,450.1,42.552043,2.145519,42.555966,2.144128,-2.8573,-8.3515,0.0,0.1771,0.0086,1.0,1.0,0.1771,0.0034,0.0,0.0,1.0,0.0,89.8919
llose,B-open,3f388e1f75,13,310.9,42.555966,2.144128,42.553532,2.142247,-5.8061,-6.2016,0.0191,0.5799,0.0781,0.9646,1.0,0.5695,0.0329,0.0191,0.0,0.9821,0.0,89.8919
llose,B-handrail,3c1089d179,0,310.9,42.553532,2.142247,42.555966,2.144128,-1.4641,-1.3633,0.3057,0.5799,0.0781,0.4329,1.0,0.3815,0.0578,0.3057,0.0,0.658,0.0,96.6062
llose,B-handrail,3c1089d179,1,364.7,42.555966,2.144128,42.556085,2.139671,1.8397,5.6177,0.576,0.2613,0.1857,0.0283,1.0,0.044,0.1825,0.576,0.0,0.1684,0.0,96.6062
llose,B-handrail,3c1089d179,2,363.9,42.556085,2.139671,42.552848,2.140375,-6.8841,-3.1446,0.0815,0.6217,0.1879,0.8628,1.0,0.5774,0.0907,0.0815,0.0,0.9289,0.0,96.6062
llose,B-handrail,3c1089d179,3,558.3,42.552848,2.140375,42.557012,2.144205,-4.279,-7.2346,0.0046,0.3218,0.0563,0.9913,1.0,0.3204,0.0228,0.0046,0.0,0.9956,0.0,96.6062
llose,B-handrail,3c1089d179,4,347.7,42.557012,2.144205,42.553913,2.14359,-4.2457,-3.1696,0.1569,0.5117,0.1233,0.7206,1.0,0.4344,0.07,0.1569,0.0,0.8489,0.0,96.6062
llose,B-handrail,3c1089d179,5,291.1,42.553913,2.14359,42.554494,2.140118,2.9501,2.1292,0.5072,0.3427,0.0849,0.065,1.0,0.0874,0.0816,0.5072,0.0,0.2549,0.0,96.6062
llose,B-handrail,3c1089d179,6,334.6,42.554494,2.140118,42.55278,2.136751,-4.8685,-1.1307,0.1732,0.2804,0.2377,0.7201,1.0,0.2379,0.135,0.1732,0.0,0.8486,0.0,96.6062
llose,B-handrail,3c1089d179,7,347.0,42.55278,2.136751,42.550146,2.139037,-3.7927,-1.5021,0.1892,0.201,0.2088,0.6869,1.0,0.1666,0.1228,0.1892,0.0,0.8288,0.0,96.6062
llose,B-handrail,3c1089d179,8,468.2,42.550146,2.139037,42.550559,2.133339,3.5567,5.074,0.5817,0.0056,0.1633,0.0,1.0,0.0,0.1633,0.5817,0.0,0.0,0.0,96.6062
llose,B-handrail,3c1089d179,9,782.7,42.550559,2.133339,42.557608,2.133589,-4.8024,1.5572,0.2864,0.4932,0.2496,0.5416,1.0,0.3629,0.1685,0.2864,0.0,0.7359,0.0,96.6062
llose,B-handrail,3c1089d179,10,251.2,42.557608,2.133589,42.557234,2.130559,3.2453,5.3287,0.5859,0.0115,0.1736,0.0014,1.0,0.0004,0.1734,0.5859,0.0,0.038,0.0,96.6062
llose,B-handrail,3c1089d179,11,911.2,42.557234,2.130559,42.55176,2.138863,2.4228,5.6142,0.5752,0.6109,0.1505,0.0,1.0,0.0,0.1505,0.5752,0.0,0.0,0.0,96.6062
llose,B-handrail,3c1089d179,12,361.1,42.55176,2.138863,42.554533,2.141172,-7.0859,-4.8772,0.0,0.4823,0.1849,1.0,1.0,0.4823,0.074,0.0,0.0,1.0,0.0,96.6062
llose,B-handrail,3c1089d179,13,141.7,42.554533,2.141172,42.553532,2.142247,-5.1027,-2.9832,0.0778,0.0916,0.2501,0.8755,1.0,0.0857,0.1187,0.0778,0.0,0.9357,0.0,96.6062
