map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
steanne,B-open,500315b98e,10,481.9,49.05185,-0.452932,49.056105,-0.454251,5.7796,1.5489,0.5,1.0,0.0,0.0,0.3617,0.0,0.0,0.5,0.0,0.0,0.0,89.6205
steanne,B-open,500315b98e,11,555.3,49.056105,-0.454251,49.053421,-0.447809,3.9167,6.2099,0.7403,0.6956,0.1612,0.0,0.5031,0.0,0.1612,0.5806,0.0,0.0,0.1596,89.6205
steanne,B-open,500315b98e,12,77.6,49.053421,-0.447809,49.054105,-0.448034,3.4304,-5.8632,0.179,0.0,0.0,0.7933,0.2681,0.0,0.0,0.1034,0.0,0.2388,0.0757,89.6205
steanne,B-open,500315b98e,13,200.9,49.054105,-0.448034,49.055127,-0.445756,6.9657,-1.4502,0.6585,0.2514,0.0,0.2469,0.2382,0.1249,0.0,0.3766,0.0,0.1184,0.2819,89.6205
steanne,B-handrail,c8215ba26d,0,636.2,49.055127,-0.445756,49.05185,-0.452932,-8.5448,-3.977,0.0012,0.6584,0.2198,0.998,1.0,0.6578,0.0882,0.0012,0.0,0.999,0.0,90.6725
steanne,B-handrail,c8215ba26d,1,481.9,49.05185,-0.452932,49.056105,-0.454251,5.7796,1.5489,0.5,1.0,0.0,0.0,0.3617,0.0,0.0,0.5,0.0,0.0,0.0,90.6725
steanne,B-handrail,c8215ba26d,2,555.3,49.056105,-0.454251,49.053421,-0.447809,3.9167,6.2099,0.7403,0.6956,0.1612,0.0,0.5031,0.0,0.1612,0.5806,0.0,0.0,0.1596,90.6725
steanne,B-handrail,c8215ba26d,3,473.7,49.053421,-0.447809,49.057386,-0.450215,-5.8376,-2.8762,0.0926,0.3648,0.2155,0.8476,1.0,0.3358,0.1059,0.0926,0.0,0.9206,0.0,90.6725
steanne,B-handrail,c8215ba26d,4,272.7,49.057386,-0.450215,49.057813,-0.453908,-10.0674,13.0923,0.4233,0.1824,0.8642,0.7248,0.2606,0.1553,0.4884,0.2565,0.0,0.2219,0.1668,90.6725
steanne,B-handrail,c8215ba26d,5,550.1,49.057813,-0.453908,49.055241,-0.447444,1.9765,8.3017,0.7411,0.6535,0.2306,0.0,0.7616,0.0,0.2306,0.6153,0.0,0.0,0.1258,90.6725
steanne,B-handrail,c8215ba26d,6,497.6,49.055241,-0.447444,49.059714,-0.447895,-9.6822,-2.7997,0.0276,0.8688,0.2405,0.9555,1.0,0.8493,0.1026,0.0276,0.0,0.9775,0.0,90.6725
steanne,B-handrail,c8215ba26d,7,367.6,49.059714,-0.447895,49.056462,-0.448853,-5.5037,-3.103,0.0932,0.3342,0.205,0.8453,1.0,0.3073,0.101,0.0932,0.0,0.9194,0.0,90.6725
steanne,B-handrail,c8215ba26d,8,398.7,49.056462,-0.448853,49.056488,-0.443372,0.2242,-4.5893,0.226,0.2189,0.0138,0.5542,1.0,0.163,0.0092,0.226,0.0,0.7445,0.0,90.6725
steanne,B-handrail,c8215ba26d,9,365.9,49.056488,-0.443372,49.05353,-0.445593,-3.9916,-1.9349,0.2224,0.6911,0.113,0.6005,1.0,0.5355,0.0723,0.2224,0.0,0.7749,0.0,90.6725
steanne,B-handrail,c8215ba26d,10,689.8,49.05353,-0.445593,49.053117,-0.436131,-8.3303,-4.5571,0.001,0.7258,0.1792,0.9984,1.0,0.7252,0.0719,0.001,0.0,0.9992,0.0,90.6725
steanne,B-handrail,c8215ba26d,11,378.8,49.053117,-0.436131,49.056379,-0.434605,1.8862,-4.5022,0.2651,0.0507,0.0,0.4697,1.0,0.0347,0.0,0.2651,0.0,0.6853,0.0,90.6725
steanne,B-handrail,c8215ba26d,12,691.3,49.056379,-0.434605,49.058952,-0.44326,4.8227,1.0912,0.5,0.7851,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,90.6725
steanne,B-handrail,c8215ba26d,13,461.8,49.058952,-0.44326,49.055127,-0.445756,-6.8649,-3.0277,0.0621,0.448,0.2308,0.8991,1.0,0.4248,0.1063,0.0621,0.0,0.9482,0.0,90.6725
