map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
crohot,7d83c5b0a8,5,forest,0,252.3,9.5712,0.5265,0.1076,0.7486,1.0,0.4555,0.0593,0.1393,0.0,0.8652,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,1,499.2,9.5712,0.0,0.0,0.9631,1.0,0.0,0.0,0.0184,0.0,0.9814,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,2,805.0,9.5712,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,3,358.9,9.5712,0.37,0.1286,0.0,0.7045,0.0,0.1286,0.5643,0.0,0.0,0.1533,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,4,945.2,9.5712,0.2155,0.0,0.5771,1.0,0.1637,0.0,0.2114,0.0,0.7597,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,5,629.5,9.5712,0.0,0.0,0.0,0.732,0.0,0.0,0.5,0.0,0.0,0.134,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,6,406.6,9.5712,0.0,0.0,0.0,0.0255,0.0,0.0,0.5,0.0,0.0,0.4872,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,7,559.2,9.5712,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,8,1271.8,9.5712,0.563,0.1677,0.0,1.0,0.0,0.1677,0.5839,0.0,0.0,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,9,210.7,9.5712,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,10,116.8,9.5712,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,11,649.1,9.5712,0.0832,0.0978,0.0,1.0,0.0,0.0978,0.5489,0.0,0.0,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,12,381.4,9.5712,0.2007,0.0429,0.8403,1.0,0.184,0.0213,0.0833,0.0,0.9167,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,13,735.6,9.5712,0.479,0.1543,0.9829,1.0,0.4749,0.0633,0.0099,0.0,0.9914,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,14,590.7,9.5712,0.5752,0.1862,0.1565,1.0,0.2275,0.1687,0.5003,0.0,0.3956,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,15,460.8,9.5712,0.8666,0.0762,0.8234,1.0,0.7863,0.0386,0.095,0.0,0.9074,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,16,284.4,9.5712,0.5795,0.061,0.6558,1.0,0.4693,0.037,0.1826,0.0,0.8098,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,17,517.3,9.5712,0.4836,0.1735,0.1949,1.0,0.2135,0.1532,0.4724,0.0,0.4415,0.0,0.8702,0.1416,0.4937,0.52
crohot,7d83c5b0a8,5,forest,18,599.7,9.5712,0.5514,0.0713,0.9054,1.0,0.5247,0.0326,0.0507,0.0,0.9515,0.0,0.8702,0.1416,0.4937,0.52
crohot,01cebe3b79,5,forest,0,371.2,-8.3397,1.0,0.16,0.5176,1.0,0.7194,0.1103,0.2798,0.0,0.7194,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,1,233.8,-8.3397,0.1758,0.0897,0.099,1.0,0.0553,0.0844,0.4909,0.0,0.3146,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,2,1274.5,-8.3397,0.6054,0.1413,0.1266,1.0,0.2154,0.1305,0.4984,0.0,0.3558,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,3,331.5,-8.3397,0.0583,0.0974,0.0007,1.0,0.0016,0.0973,0.5483,0.0,0.0271,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,4,648.3,-8.3397,0.674,0.1841,0.105,1.0,0.2184,0.1725,0.5299,0.0,0.324,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,5,476.9,-8.3397,0.0309,0.1792,1.0,1.0,0.0309,0.0717,0.0,0.0,1.0,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,6,194.3,-8.3397,0.0,0.0,0.0,0.7023,0.0,0.0,0.5,0.0,0.0,0.1488,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,7,437.1,-8.3397,0.0,0.0,0.0,0.4517,0.0,0.0,0.5,0.0,0.0,0.2742,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,8,346.0,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,9,654.2,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,10,320.0,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,11,540.8,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,12,389.5,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,13,119.2,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,14,395.7,-8.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,15,524.7,-8.3397,0.2514,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,16,466.8,-8.3397,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0881,0.5654,0.5256
crohot,01cebe3b79,5,forest,17,221.1,-8.3397,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0881,0.5654,0.5256
