map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h,n_unique_tags
crohot,7c70405d98,5,forest,0,327.4,54.2748,1.0,0.1361,0.215,1.0,0.4637,0.1185,0.4459,0.0,0.4637,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,1,730.9,54.2748,1.0,0.1902,0.0063,1.0,0.0796,0.1895,0.5914,0.0,0.0796,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,2,182.1,54.2748,0.8026,0.0047,0.8891,0.8528,0.7568,0.0022,0.0557,0.0,0.8042,0.0082,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,3,834.4,54.2748,1.0,0.1257,0.3636,1.0,0.603,0.0983,0.3582,0.0,0.603,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,4,838.3,54.2748,1.0,0.1695,0.4834,1.0,0.6952,0.1204,0.3021,0.0,0.6952,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,5,534.3,54.2748,0.2912,0.1148,0.7228,1.0,0.2475,0.065,0.1545,0.0,0.8502,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,6,384.6,54.2748,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,7,446.5,54.2748,0.2443,0.2881,0.0303,1.0,0.0426,0.2828,0.6245,0.0,0.1742,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,8,923.0,54.2748,1.0,0.1256,0.8207,1.0,0.9059,0.0637,0.1009,0.0,0.9059,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,9,902.8,54.2748,0.808,0.103,0.4341,1.0,0.5323,0.0762,0.3121,0.0,0.6588,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,10,396.5,54.2748,0.0,0.0,0.0,0.6897,0.0,0.0,0.5,0.0,0.0,0.1552,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,11,602.3,54.2748,0.8071,0.1082,0.0,1.0,0.0,0.1082,0.5541,0.0,0.0,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,12,323.7,54.2748,0.0888,0.1207,0.0436,1.0,0.0185,0.1176,0.5359,0.0,0.2088,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,13,136.4,54.2748,0.0044,0.0491,0.2272,1.0,0.0021,0.0424,0.4054,0.0,0.4767,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,14,389.5,54.2748,0.3011,0.1596,0.7038,1.0,0.2526,0.0922,0.1717,0.0,0.8389,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,15,631.8,54.2748,1.0,0.1483,0.9411,1.0,0.9701,0.0645,0.0338,0.0,0.9701,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,16,233.9,54.2748,0.3393,0.1114,0.6226,1.0,0.2677,0.0698,0.2097,0.0,0.7891,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,17,510.0,54.2748,1.0,0.1551,0.9494,1.0,0.9744,0.0667,0.0292,0.0,0.9744,0.0,0.8702,0.054,0.4973,0.5712,
crohot,7c70405d98,5,forest,18,157.8,54.2748,0.0,0.1336,0.4016,1.0,0.0,0.1014,0.3391,0.0,0.6338,0.0,0.8702,0.054,0.4973,0.5712,
crohot,68d33f95b6,5,forest,0,1104.3,52.4313,1.0,0.0805,0.9276,1.0,0.9631,0.0357,0.0391,0.0,0.9631,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,1,229.1,52.4313,0.7417,0.035,0.1845,1.0,0.3186,0.0311,0.422,0.0,0.4296,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,2,860.7,52.4313,1.0,0.1831,0.0931,1.0,0.3052,0.1729,0.5365,0.0,0.3052,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,3,543.0,52.4313,1.0,0.0872,0.744,1.0,0.8626,0.0482,0.1392,0.0,0.8626,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,4,512.7,52.4313,1.0,0.1193,0.0735,1.0,0.2712,0.114,0.5185,0.0,0.2712,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,5,378.1,52.4313,0.3567,0.2239,0.906,1.0,0.3395,0.1022,0.0575,0.0,0.9518,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,6,446.7,52.4313,0.2093,0.1123,0.3788,1.0,0.1288,0.0867,0.3455,0.0,0.6155,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,7,799.1,52.4313,0.7955,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,8,452.4,52.4313,0.5714,0.0596,0.0,1.0,0.0,0.0596,0.5298,0.0,0.0,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,9,485.6,52.4313,0.9395,0.1609,0.0057,1.0,0.0712,0.1603,0.5771,0.0,0.0757,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,10,392.1,52.4313,0.9786,0.1644,0.1032,1.0,0.3144,0.1542,0.5221,0.0,0.3213,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,11,910.1,52.4313,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,12,476.5,52.4313,0.8998,0.0971,0.0,1.0,0.0,0.0971,0.5486,0.0,0.0,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,13,600.6,52.4313,0.6782,0.155,0.8568,1.0,0.6277,0.0753,0.0827,0.0,0.9256,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,14,328.7,52.4313,1.0,0.0576,0.9249,1.0,0.9617,0.0256,0.0397,0.0,0.9617,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,15,320.7,52.4313,1.0,0.2506,0.9416,1.0,0.9704,0.109,0.0365,0.0,0.9704,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,16,217.8,52.4313,1.0,0.1051,0.0051,1.0,0.0712,0.1048,0.5498,0.0,0.0712,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,17,254.8,52.4313,1.0,0.1391,0.8018,1.0,0.8954,0.0722,0.1129,0.0,0.8954,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,68d33f95b6,5,forest,18,931.8,52.4313,1.0,0.1334,0.2822,1.0,0.5313,0.1108,0.4067,0.0,0.5313,0.0,0.8702,0.1383,0.4717,0.5555,
crohot,24c83d1bde,5,forest,0,398.0,50.5442,1.0,0.024,0.9241,1.0,0.9613,0.0107,0.0389,0.0,0.9613,0.0,0.8702,0.0523,0.4453,0.5533,
crohot,24c83d1bde,5,forest,1,372.4,50.5442,0.6746,0.144,0.8413,1.0,0.6188,0.0713,0.0908,0.0,0.9172,0.0,0.8702,0.0523,0.4453,0.5533,
crohot,24c83d1bde,5,forest,2,275.5,50.5442,0.3973,0.1043,0.0222,1.0,0.0592,0.1029,0.5399,0.0,0.1489,0.0,0.8702,0.0523,0.4453,0.5533,
crohot,24c83d1bde,5,forest,3,138.6,50.5442,0.1129,0.152,0.2618,1.0,0.0577,0.1281,0.4252,0.0,0.5116,0.0,0.8702,0.0523,0.4453,0.5533,
crohot,24c83d1bde,5,forest,4,574.1,50.5442,0.2023,0.1734,0.6512,1.0,0.1632,0.1056,0.2046,0.0,0.807,0.0,0.8702,0.0523,0.4453,0.5533,
