map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
stanne,5d2b3f128c,3,forest,8,704.7,52.5616,1.0,0.0761,0.999,1.0,0.9995,0.0305,0.0006,0.0,0.9995,0.0,0.8702,0.0454,0.4333,0.4632
stanne,5d2b3f128c,3,forest,9,310.7,52.5616,0.471,0.0543,0.5015,1.0,0.3335,0.0379,0.2628,0.0,0.7081,0.0,0.8702,0.0454,0.4333,0.4632
stanne,08983977ef,3,forest,0,638.1,47.4071,0.6332,0.1112,0.9507,1.0,0.6174,0.0478,0.0274,0.0,0.975,0.0,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,1,306.4,47.4071,0.0107,0.1529,0.3356,1.0,0.0062,0.1221,0.383,0.0,0.5793,0.0,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,2,570.2,47.4071,1.0,0.0745,0.19,1.0,0.4359,0.066,0.4352,0.0,0.4359,0.0,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,3,404.7,47.4071,0.1239,0.0,0.2684,1.0,0.0642,0.0,0.3658,0.0,0.5181,0.0,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,4,370.5,47.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,5,392.2,47.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,6,138.2,47.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,7,502.7,47.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,8,403.6,47.4071,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1307,0.3855,0.6695
stanne,08983977ef,3,forest,9,796.1,47.4071,0.322,0.2295,0.0,1.0,0.0,0.2295,0.6148,0.0,0.0,0.0,0.8702,0.1307,0.3855,0.6695
stanne,a57536d070,3,forest,0,348.0,51.951,0.3839,0.0768,0.0236,1.0,0.059,0.0757,0.5257,0.0,0.1537,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,1,905.3,51.951,0.8339,0.1054,0.982,1.0,0.8264,0.0433,0.01,0.0,0.9909,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,2,461.2,51.951,0.4042,0.0,0.0015,1.0,0.0155,0.0,0.4993,0.0,0.0383,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,3,333.1,51.951,0.0462,0.1434,0.0,1.0,0.0,0.1434,0.5717,0.0,0.0,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,4,285.2,51.951,0.9121,0.1257,0.3332,1.0,0.5265,0.1006,0.3753,0.0,0.5772,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,5,205.6,51.951,0.0,0.101,0.01,1.0,0.0,0.1004,0.545,0.0,0.1001,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,6,434.8,51.951,0.9823,0.0781,0.8545,1.0,0.908,0.0381,0.0784,0.0,0.9244,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,7,532.4,51.951,0.3406,0.1227,0.33,1.0,0.1957,0.0984,0.3761,0.0,0.5744,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,8,553.8,51.951,0.6411,0.3914,0.9554,1.0,0.6267,0.167,0.031,0.0,0.9774,0.0,0.8702,0.1514,0.4029,0.8328
stanne,a57536d070,3,forest,9,546.3,51.951,0.3909,0.2661,0.0,1.0,0.0,0.2661,0.6331,0.0,0.0,0.0,0.8702,0.1514,0.4029,0.8328
stanne,e0a69e004a,3,forest,0,1008.4,44.4228,0.9336,0.098,0.0502,1.0,0.2091,0.0951,0.5215,0.0,0.224,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,1,212.2,44.4228,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,2,416.8,44.4228,0.4724,0.1322,0.0,1.0,0.0,0.1322,0.5661,0.0,0.0,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,3,572.2,44.4228,1.0,0.1096,0.2943,1.0,0.5425,0.0903,0.3915,0.0,0.5425,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,4,407.0,44.4228,0.3869,0.1127,0.635,1.0,0.3083,0.0698,0.2031,0.0,0.7969,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,5,659.5,44.4228,1.0,0.0905,0.1127,1.0,0.3358,0.0844,0.4838,0.0,0.3358,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,6,510.6,44.4228,0.401,0.213,0.0775,1.0,0.1116,0.2031,0.5595,0.0,0.2783,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,7,487.3,44.4228,0.1965,0.1024,0.9194,1.0,0.1884,0.0459,0.0444,0.0,0.9588,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,8,310.7,44.4228,0.775,0.1798,0.9641,1.0,0.761,0.0758,0.0212,0.0,0.9819,0.0,0.8702,0.2506,0.4148,0.6066
stanne,e0a69e004a,3,forest,9,417.7,44.4228,0.7993,0.185,0.0043,1.0,0.0523,0.1845,0.5899,0.0,0.0654,0.0,0.8702,0.2506,0.4148,0.6066
stanne,13976398b6,3,forest,0,219.7,51.3702,0.8155,0.0091,0.1282,1.0,0.292,0.0084,0.4399,0.0,0.358,0.0,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,1,670.4,51.3702,0.7011,0.0,0.9367,1.0,0.6785,0.0,0.0316,0.0,0.9679,0.0,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,2,520.7,51.3702,0.6461,0.4277,0.8746,0.3307,0.6042,0.2033,0.0895,0.0,0.3093,0.0256,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,3,534.2,51.3702,0.8748,0.1669,0.0,0.9578,0.0,0.1669,0.5834,0.0,0.0,0.0212,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,4,532.3,51.3702,0.5976,0.0785,0.771,1.0,0.5248,0.0422,0.1235,0.0,0.8781,0.0,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,5,510.7,51.3702,0.723,0.2296,0.8831,1.0,0.6794,0.1079,0.0719,0.0,0.9397,0.0,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,6,268.4,51.3702,0.892,0.1201,0.9986,0.123,0.8914,0.0481,0.0008,0.0,0.1229,0.0001,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,7,458.7,51.3702,0.7425,0.0,0.019,1.0,0.1023,0.0,0.4905,0.0,0.1378,0.0,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,8,434.8,51.3702,0.6646,0.442,0.821,1.0,0.6022,0.2243,0.1291,0.0,0.9061,0.0,0.8702,0.1498,0.2719,0.5892
stanne,13976398b6,3,forest,9,449.3,51.3702,0.8743,0.0971,0.1997,1.0,0.3907,0.0854,0.439,0.0,0.4469,0.0,0.8702,0.1498,0.2719,0.5892
stanne,16f133cfad,3,forest,0,492.6,33.6364,0.9343,0.5253,0.0878,1.0,0.2769,0.4976,0.6957,0.0,0.2963,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,1,385.3,33.6364,0.4386,0.1199,0.0,1.0,0.0,0.1199,0.56,0.0,0.0,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,2,200.2,33.6364,0.4181,0.4317,0.3813,1.0,0.2582,0.333,0.4429,0.0,0.6175,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,3,161.1,33.6364,0.1965,0.0,0.9973,1.0,0.1963,0.0,0.0014,0.0,0.9986,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,4,292.2,33.6364,0.2862,0.1238,0.0014,1.0,0.0109,0.1237,0.5611,0.0,0.038,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,5,514.4,33.6364,1.0,0.0347,0.9236,1.0,0.9611,0.0155,0.0395,0.0,0.9611,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,6,920.5,33.6364,1.0,0.1407,0.6367,1.0,0.7979,0.0869,0.2072,0.0,0.7979,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,7,216.6,33.6364,0.171,0.0,0.0,0.7297,0.0,0.0,0.5,0.0,0.0,0.1351,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,8,1103.1,33.6364,1.0,0.0849,0.8114,1.0,0.9008,0.0436,0.1023,0.0,0.9008,0.0,0.8702,0.1516,0.6509,0.4562
stanne,16f133cfad,3,forest,9,320.3,33.6364,0.41,0.0789,0.5929,1.0,0.3157,0.0508,0.2196,0.0,0.77,0.0,0.8702,0.1516,0.6509,0.4562
stanne,7e54bd3dd7,3,forest,0,390.8,28.5724,0.5822,0.3234,0.934,0.7052,0.5626,0.1422,0.0437,0.0,0.6815,0.0107,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,1,266.9,28.5724,0.2336,0.0,0.0,0.4505,0.0,0.0,0.5,0.0,0.0,0.2747,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,2,402.7,28.5724,0.7379,0.0,0.5674,0.1007,0.5559,0.0,0.2163,0.0,0.0759,0.0567,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,3,414.3,28.5724,0.6487,0.0,0.0,0.0321,0.0,0.0,0.5,0.0,0.0,0.1756,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,4,974.3,28.5724,0.5974,0.2264,0.0,1.0,0.0,0.2264,0.6132,0.0,0.0,0.0,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,5,206.5,28.5724,0.6339,0.0644,0.9653,1.0,0.6228,0.0271,0.0184,0.0,0.9825,0.0,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,6,380.8,28.5724,0.6107,0.1465,0.2435,1.0,0.3014,0.1251,0.4337,0.0,0.4934,0.0,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,7,654.4,28.5724,0.7151,0.1379,0.014,1.0,0.0846,0.1367,0.561,0.0,0.1182,0.0,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,8,407.8,28.5724,0.728,0.3277,0.9085,1.0,0.6938,0.1491,0.0608,0.0,0.9531,0.0,0.8702,0.1493,0.4482,0.4705
stanne,7e54bd3dd7,3,forest,9,498.6,28.5724,0.185,0.1997,0.0413,1.0,0.0376,0.1947,0.5751,0.0,0.2033,0.0,0.8702,0.1493,0.4482,0.4705
stanne,c62660e3a8,3,forest,0,630.5,50.9318,0.6867,0.2477,0.9363,1.0,0.6645,0.1085,0.0397,0.0,0.9676,0.0,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,1,323.5,50.9318,0.0,0.0,0.0,0.368,0.0,0.0,0.5,0.0,0.0,0.316,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,2,659.3,50.9318,0.6668,0.1822,0.0,0.8605,0.0,0.1822,0.5911,0.0,0.0,0.0715,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,3,405.4,50.9318,0.6706,0.4034,0.3615,0.4414,0.4032,0.3159,0.4481,0.0,0.2654,0.1191,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,4,352.0,50.9318,0.3036,0.0,1.0,1.0,0.3036,0.0,0.0,0.0,1.0,0.0,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,5,380.0,50.9318,0.1361,0.0,0.6092,0.4336,0.1062,0.0,0.1954,0.0,0.3384,0.1107,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,6,974.1,50.9318,0.8873,0.4374,0.0,1.0,0.0,0.4374,0.7187,0.0,0.0,0.0,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,7,523.3,50.9318,0.635,0.076,0.2129,1.0,0.293,0.0663,0.4235,0.0,0.4614,0.0,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,8,179.6,50.9318,0.0541,0.0957,0.7576,1.0,0.0471,0.0522,0.1328,0.0,0.8704,0.0,0.8702,0.1499,0.5044,0.5058
stanne,c62660e3a8,3,forest,9,172.2,50.9318,0.0328,0.1148,0.7061,1.0,0.0276,0.0661,0.1638,0.0,0.8403,0.0,0.8702,0.1499,0.5044,0.5058
crohot,26cede2235,3,forest,0,421.4,43.2343,1.0,0.3104,0.9616,1.0,0.9806,0.1313,0.0252,0.0,0.9806,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,1,544.4,43.2343,0.7197,0.1862,0.9574,1.0,0.7043,0.0792,0.0252,0.0,0.9785,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,2,438.1,43.2343,0.0987,0.1273,0.6395,1.0,0.0789,0.0784,0.2032,0.0,0.7997,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,3,415.0,43.2343,0.7076,0.0905,0.2661,1.0,0.365,0.0761,0.4002,0.0,0.5158,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,4,387.3,43.2343,0.4494,0.1292,0.4157,1.0,0.2897,0.097,0.3299,0.0,0.6447,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,5,552.8,43.2343,1.0,0.1636,0.5274,1.0,0.7262,0.1118,0.275,0.0,0.7262,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,6,510.3,43.2343,0.5074,0.1517,0.9449,1.0,0.4932,0.0657,0.0318,0.0,0.972,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,7,624.1,43.2343,0.0,0.0,0.7446,1.0,0.0,0.0,0.1277,0.0,0.8629,0.0,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,8,261.1,43.2343,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.2501,0.3013,0.5678
crohot,26cede2235,3,forest,9,846.0,43.2343,1.0,0.1502,0.0,1.0,0.0,0.1502,0.5751,0.0,0.0,0.0,0.8702,0.2501,0.3013,0.5678
crohot,9769e14dc1,3,forest,0,308.6,42.7206,0.4749,0.2502,0.1083,1.0,0.1563,0.2339,0.5574,0.0,0.3291,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,1,337.9,42.7206,0.292,0.062,0.2719,1.0,0.1523,0.0519,0.3866,0.0,0.5214,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,2,411.7,42.7206,0.3928,0.0839,0.0316,1.0,0.0698,0.0823,0.5248,0.0,0.1778,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,3,435.5,42.7206,0.3063,0.1224,0.1086,1.0,0.1009,0.1144,0.5002,0.0,0.3295,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,4,796.6,42.7206,0.4419,0.1277,0.7169,1.0,0.3741,0.0728,0.1596,0.0,0.8467,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,5,258.8,42.7206,0.0317,0.1037,0.2682,1.0,0.0164,0.087,0.4038,0.0,0.5179,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,6,914.4,42.7206,0.7252,0.1127,0.5434,1.0,0.5346,0.0759,0.254,0.0,0.7371,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,7,408.4,42.7206,0.3046,0.1442,0.2223,1.0,0.1436,0.125,0.4449,0.0,0.4715,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,8,246.0,42.7206,0.4568,0.3035,0.6013,1.0,0.3542,0.194,0.2598,0.0,0.7755,0.0,0.8702,0.2501,0.4947,0.509
crohot,9769e14dc1,3,forest,9,882.6,42.7206,1.0,0.0941,0.0831,1.0,0.2883,0.0894,0.5016,0.0,0.2883,0.0,0.8702,0.2501,0.4947,0.509
crohot,e5d08455c6,3,forest,0,367.2,47.783,0.9693,0.2253,0.2706,1.0,0.5042,0.1887,0.4469,0.0,0.5202,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,1,727.9,47.783,0.8071,0.0761,0.025,1.0,0.1276,0.075,0.5246,0.0,0.1581,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,2,481.8,47.783,0.0,0.0,0.0807,0.8496,0.0,0.0,0.4596,0.0,0.2414,0.0691,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,3,300.2,47.783,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,4,461.3,47.783,0.0,0.1893,0.0,1.0,0.0,0.1893,0.5946,0.0,0.0,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,5,830.1,47.783,0.6126,0.162,0.6885,1.0,0.5083,0.0951,0.181,0.0,0.8298,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,6,382.7,47.783,0.8645,0.1293,0.1926,1.0,0.3794,0.1144,0.4559,0.0,0.4388,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,7,453.2,47.783,1.0,0.0,0.9729,1.0,0.9864,0.0,0.0136,0.0,0.9864,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,8,82.8,47.783,0.0,0.0586,0.2109,1.0,0.0,0.0512,0.4177,0.0,0.4592,0.0,0.8702,0.149,0.4319,0.4924
crohot,e5d08455c6,3,forest,9,509.0,47.783,1.0,0.0436,0.6856,1.0,0.828,0.0257,0.1641,0.0,0.828,0.0,0.8702,0.149,0.4319,0.4924
crohot,57c0089bb3,3,forest,0,434.9,46.5462,0.0388,0.1437,0.9731,1.0,0.0383,0.0598,0.0154,0.0,0.9865,0.0,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,1,477.1,46.5462,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,2,327.3,46.5462,0.0678,0.0,0.4286,0.61,0.0444,0.0,0.2857,0.0803,0.3994,0.1114,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,3,792.0,46.5462,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,4,281.5,46.5462,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,5,921.3,46.5462,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,6,381.6,46.5462,0.0,0.0,0.0,0.696,0.0,0.0,0.5,0.0,0.0,0.152,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,7,821.8,46.5462,1.0,0.158,0.0,1.0,0.0,0.158,0.579,0.0,0.0,0.0,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,8,113.9,46.5462,0.0,0.1301,0.5981,1.0,0.0,0.0834,0.2271,0.0,0.7734,0.0,0.8702,0.2516,0.4948,0.8568
crohot,57c0089bb3,3,forest,9,455.1,46.5462,1.0,0.1345,0.9912,1.0,0.9956,0.0545,0.005,0.0,0.9956,0.0,0.8702,0.2516,0.4948,0.8568
crohot,ad13307cbe,3,forest,0,391.4,11.5223,0.7818,0.0883,0.7452,1.0,0.6749,0.0488,0.1387,0.0,0.8632,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,1,441.2,11.5223,0.3029,0.175,0.8192,1.0,0.2742,0.089,0.1062,0.0,0.9051,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,2,415.6,11.5223,0.4618,0.1654,0.7712,1.0,0.4056,0.0888,0.1333,0.0,0.8782,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,3,373.3,11.5223,0.2411,0.3343,0.561,1.0,0.1806,0.2218,0.2929,0.0,0.749,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,4,590.0,11.5223,0.1545,0.0252,0.385,1.0,0.0959,0.0194,0.3152,0.0,0.6205,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,5,179.3,11.5223,0.0,0.0748,0.1543,1.0,0.0,0.0679,0.4545,0.0,0.3928,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,6,612.8,11.5223,0.0,0.0,0.5292,1.0,0.0,0.0,0.2354,0.0,0.7275,0.0,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,7,305.6,11.5223,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1514,0.4154,0.925
crohot,ad13307cbe,3,forest,8,385.8,11.5223,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1514,0.4154,0.925
