map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
crohot,1ee90943aa,5,forest,10,536.7,48.3707,0.1415,0.0,0.8839,1.0,0.1331,0.0,0.0581,0.0,0.9401,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,11,425.3,48.3707,0.0209,0.0047,0.0,1.0,0.0,0.0047,0.5023,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,12,303.6,48.3707,0.0,0.0745,0.5499,1.0,0.0,0.0499,0.2418,0.0,0.7416,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,13,575.5,48.3707,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,14,645.3,48.3707,0.2268,0.1902,0.0,1.0,0.0,0.1902,0.5951,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,15,427.5,48.3707,0.2328,0.2161,0.7217,1.0,0.1977,0.1225,0.1692,0.0,0.8495,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,16,409.2,48.3707,1.0,0.2418,0.632,1.0,0.795,0.1501,0.2285,0.0,0.795,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,17,585.6,48.3707,0.5728,0.1583,0.2897,1.0,0.3083,0.1307,0.4113,0.0,0.5383,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,18,643.3,48.3707,0.9885,0.143,0.059,1.0,0.2401,0.1379,0.5378,0.0,0.2429,0.0,0.8702,0.0933,0.4174,0.52
crohot,62814dccae,5,forest,0,849.9,32.8237,0.6056,0.0809,0.0039,1.0,0.038,0.0807,0.5383,0.0,0.0627,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,1,478.3,32.8237,0.004,0.0447,0.0545,1.0,0.0009,0.0433,0.4939,0.0,0.2335,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,2,477.3,32.8237,0.0,0.003,0.5868,1.0,0.0,0.0019,0.2072,0.0,0.766,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,3,409.1,32.8237,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,4,184.3,32.8237,0.0,0.0,0.1607,0.7615,0.0,0.0,0.4197,0.0832,0.3052,0.1001,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,5,246.0,32.8237,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,6,824.4,32.8237,1.0,0.1397,0.0,1.0,0.0,0.1397,0.5698,0.0,0.0,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,7,334.1,32.8237,0.9912,0.1668,0.7856,1.0,0.8786,0.0882,0.1251,0.0,0.8864,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,8,660.7,32.8237,0.6642,0.1716,0.0272,1.0,0.1096,0.1688,0.5698,0.0,0.1651,0.0,0.8702,0.1165,0.4936,0.6222
